
2022/09/25 (19:06:51) | ===> btop++ v.1.2.9
2022/09/25 (19:06:51) | ERROR: Invalid size of hex value: CC1E1E2E

2022/09/25 (19:06:58) | ===> btop++ v.1.2.9
2022/09/25 (19:06:58) | ERROR: Invalid size of hex value: CC1E1E2E

2022/09/27 (20:29:39) | ===> btop++ v.1.2.9
2022/09/27 (20:29:39) | ERROR: Invalid size of hex value: CC1E1E2E

2022/11/08 (07:32:40) | ===> btop++ v.1.2.12
2022/11/08 (07:32:40) | ERROR: Invalid size of hex value: CC1E1E2E

2022/11/08 (10:26:50) | ===> btop++ v.1.2.12
2022/11/08 (10:26:50) | ERROR: Invalid size of hex value: CC1E1E2E

2022/11/08 (10:27:35) | ===> btop++ v.1.2.12
2022/11/08 (10:27:35) | ERROR: Invalid size of hex value: CC1E1E2E

2022/11/08 (10:31:10) | ===> btop++ v.1.2.12
2022/11/08 (10:31:10) | ERROR: Invalid size of hex value: CC1E1E2E

2023/04/25 (20:42:34) | ===> btop++ v.1.2.13
2023/04/25 (20:42:34) | ERROR: Invalid size of hex value: CC1E1E2E

2023/04/25 (20:42:46) | ===> btop++ v.1.2.13
2023/04/25 (20:42:46) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/07 (16:09:46) | ===> btop++ v.1.2.13
2023/05/07 (16:09:46) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/07 (16:50:13) | ===> btop++ v.1.2.13
2023/05/07 (16:50:13) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/07 (17:55:09) | ===> btop++ v.1.2.13
2023/05/07 (17:55:09) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/09 (00:04:38) | ===> btop++ v.1.2.13
2023/05/09 (00:04:38) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/09 (00:06:59) | ===> btop++ v.1.2.13
2023/05/09 (00:06:59) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/09 (19:09:48) | ===> btop++ v.1.2.13
2023/05/09 (19:09:48) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/09 (19:10:30) | ===> btop++ v.1.2.13
2023/05/09 (19:10:30) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/09 (19:27:49) | ===> btop++ v.1.2.13
2023/05/09 (19:27:49) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/09 (19:30:29) | ===> btop++ v.1.2.13
2023/05/09 (19:30:29) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/12 (00:35:49) | ===> btop++ v.1.2.13
2023/05/12 (00:35:49) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/13 (00:26:15) | ===> btop++ v.1.2.13
2023/05/13 (00:26:15) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/13 (00:30:04) | ===> btop++ v.1.2.13
2023/05/13 (00:30:04) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/13 (00:34:11) | ===> btop++ v.1.2.13
2023/05/13 (00:34:11) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/13 (18:37:17) | ===> btop++ v.1.2.13
2023/05/13 (18:37:17) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/20 (15:49:01) | ===> btop++ v.1.2.13
2023/05/20 (15:49:01) | ERROR: Invalid size of hex value: CC1E1E2E

2023/05/20 (15:49:06) | ===> btop++ v.1.2.13
2023/05/20 (15:49:06) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/04 (22:32:23) | ===> btop++ v.1.2.13
2023/06/04 (22:32:23) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/04 (22:34:57) | ===> btop++ v.1.2.13
2023/06/04 (22:34:57) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/04 (22:57:58) | ===> btop++ v.1.2.13
2023/06/04 (22:57:58) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/05 (19:30:16) | ===> btop++ v.1.2.13
2023/06/05 (19:30:16) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/06 (20:26:44) | ===> btop++ v.1.2.13
2023/06/06 (20:26:44) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/08 (03:01:53) | ===> btop++ v.1.2.13
2023/06/08 (03:01:53) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/08 (17:40:09) | ===> btop++ v.1.2.13
2023/06/08 (17:40:09) | ERROR: Invalid size of hex value: CC1E1E2E
2023/06/08 (17:42:32) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/08 (17:47:19) | ===> btop++ v.1.2.13
2023/06/08 (17:47:19) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/08 (17:49:40) | ===> btop++ v.1.2.13
2023/06/08 (17:49:40) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/09 (21:15:36) | ===> btop++ v.1.2.13
2023/06/09 (21:15:36) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/10 (15:34:27) | ===> btop++ v.1.2.13
2023/06/10 (15:34:27) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/18 (03:41:02) | ===> btop++ v.1.2.13
2023/06/18 (03:41:02) | ERROR: Invalid size of hex value: CC1E1E2E

2023/06/22 (13:31:49) | ===> btop++ v.1.2.13
2023/06/22 (13:31:49) | ERROR: Invalid size of hex value: CC1E1E2E

